IDENT,PROBLEM,ACTION
100368,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
100369,number 3 rocker cover gasket leaking.,removed and replaced number 3 rocker cover gasket.
100370,forward push rod seal leaking at engine on number 3 cylinder.,removed and replaced number 3 cylinder forward push rod tube seals.
100371,cylinder number 1 baffle cracked at screw support and forward baffle below number 1,fabricated patches of like material and riveted in accordance with reference manual
100372,right-hand baffle seal loose forward upper.,resecured baffle seal.
100373,baffle seal has hole in it.,repaired hole in seal.
100374,front baffle rubbing on muffler.,applied high temperature sealant to separate and secure baffle.
100375,number 2 intake leaking.,replaced gasket.
100376,number 3 cylinder has valve sticking.,installed remaining items.
100377,number 3 cylinder has valve sticking.,"removed cylinder, installed repaired cylinder, two to 28 push rods"
100378,number 4 cylinder intake gasket is leaking.,removed and replaced gasket.
100379,number 2 intake is leaking.,removed and replaced intake gasket.
100380,"number 2, and number 4 rocker cover is leaking.",removed and replaced rocker cover gaskets.
100381,number 2 and number 3 intakes are leaking.,removed and replaced gaskets.
100382,number 3 cylinder aft baffle missing screw.,installed new screw.
100383,number 4 rocker cover is leaking.,replaced gasket.
100384,"engine rough on start, suspect stuck valve.","inspected, found number 3 cylinder exhaust valve stuck open, contacted"
100385,"engine rough on start, suspect stuck valve.","torqued cylinder base, installed remaining lines, tubes, baffles"
100386,number 3 forward push rod tube leaking at engine.,removed and replaced number 3 forward push rod tube seals. leak check
100387,cylinder number 3 intake tube leaking at sump connector hose.,tightened clamps.
100388,cylinder number 3 aft baffle mount rivets are sheared.,"removed baffle, repaired mount and reinstalled."
100389,number 2 cylinder baffle seal needs to be resecured.,resecured number 2 baffle seal.
100390,number 3 intake gasket leaks.,replaced gasket.
100391,"screw missing for right-hand side of baffling, behind dipstick.","removed dipstick, installed screw, installed and safetied"
100392,right-hand number 4 side baffle missing bolts.,installed new bolts.
100393,left engine number 3 drain hose clamp against baffle.,repositioned drain tube clamps to clear baffle.
100394,number 4 intake leaking.,removed and replaced number 4 intake gasket.
100395,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
100396,cylinder number 2 and number 4 intakes are leaking.,replaced intake gaskets.
100397,cylinder number 3 aft baffle mount loose.,removed baffle and found baffle almost worn through at aft
100398,number 3 rocker cover requires new gasket.,installed new gasket.
100399,number 4 intake leaking.,removed and replaced gasket.
100400,"severe knocking, vibrations on start up.","inspected, compressions indicated normal. removed cowl,"
100401,number 2 intake leaking.,removed and replaced number 2 intake gasket.
100402,cylinder number 2 and number 4 intakes are leaking.,replaced intake gaskets.
100403,oil return line clamps loose.,tightened oil return line clamps.
100404,"loose cable safety baffle bolts, cylinder number 2.",tightened and resecured.
100405,number 1 and number 3 cylinder fuel injector lines standoff loose by oil filler tube.,tightened screw.
100406,right-hand engine number 4 intake is leaking.,replaced gasket.
100407,"left,hand engine number 3 intake is leaking.",removed and replaced gasket.
100408,left-hand engine all 4 rocker covers are leaking.,removed and replaced gaskets.
100409,right-hand engine all 4 rocker covers are leaking.,removed and replaced gaskets.
100410,right-hand engine number 2 and number 4 rocker oil return lines are leaking.,tightened clamps.
100411,replace left-hand engine torquemeter hoses.,leak checked good.
100412,replace right-hand engine torquemeter hoses.,leak checked good.
100413,replace left-hand engine torquemeter hoses.,replaced pressure hose.
100414,replace right-hand engine torquemeter hoses.,installed pressure hose.
100415,replace left-hand engine torquemeter hoses.,replaced vent hose for torquemeter.
100416,replace right-hand engine torquemeter hoses.,replaced vent hoses for torquemeter.
100417,"right, hand rear engine baffle support broken.",installed new baffle support.
100418,"left,hand forward engine baffle cracked.",installed patch of like material and riveted in accordance with reference manual
100419,number 3 rocker cover gasket leaking.,removed and replaced number 3 rocker cover gasket.
100420,number 3 rocker cover gasket leaking.,removed and replaced number 3 rocker cover gasket.
100421,number 3 intake leaking.,replaced gasket.
100422,number 2 rocker cover leaking.,replaced gasket.
100423,engine is timed out.,removed engine in accordance with maintenance manual.
100424,engine is timed out.,removed baffling and components from old engine and started
100425,engine is timed out.,"installed engine. performed pre, oil and installed spark"
100426,engine is timed out.,"engine run up, leak check good."
100427,cylinder number 3 rocker cover is leaking.,removed and replaced rocker cover gasket.
100428,"left,hand upper baffle for cylinder number 4 plug hole is enlarged.",installed patch made of like material and riveted in accordance with ces
100429,right-hand inner cylinder baffle tie rod is installed incorrectly.,tie rod broke while repositioning. removed and replaced rod
100430,number 2 and number 4 rocker covers are leaking.,removed and replaced gaskets.
100431,"forward lower baffle, right-hand side, is cracked.",stop drilled crack and installed wide area washer to distalled
100432,number 2 and number 3 rocker covers leaking.,removed and replaced number 2 and number 3 rocker cover gaskets.
100433,"left,hand aft upper baffle cracked.","stop drilled crack, fabricated patch and installed patch."
100434,number 3 intake gasket leaking.,removed and replaced number 3 intake gasket.
100435,number 2 rocker cover leaking.,removed and replaced number 2 rocker cover gasket.
100436,number 1 and number 3 rocker cover gaskets leaking.,removed and replaced number 1 and number 3 rocker cover gaskets.
100437,"right, hand forward baffle seal torn.",repaired hole in baffle seal.
100438,cylinder number 2 and number 4 intakes are leaking.,replaced cylinder number 2 and number 4 intake pipe gaskets.
100439,number 2 cylinder rocker cover gasket is leaking.,removed and replaced number 2 rocker cover gasket with new.
100440,number 2 and number 4 intake gaskets leaking.,replaced gaskets.
100441,intakes 2 and 4 leaking on left-hand engine.,removed and replaced intake gaskets 2 and 4 on left-hand engine.
100442,"intakes 2, 3 and 4 leaking on right-hand engine.","removed and replaced intake gaskets numbers 2, 3 and 4 on right-hand engine"
100443,number 2 induction tube gasket leaking.,installed new number 2 induction tube gasket.
100444,"left,hand engine missing screw and nut on baffle by oil fill tube.","replaced screw, washers and nut."
100445,right-hand engine number 3 baffle cracked by upper number 1 baffle attachment.,repaired baffling by fabricating attachment of like material
100446,number 2 cylinder intake gasket leaking.,replaced intake gasket.
100447,number 1 rocker cover gasket is leaking.,removed and replaced gasket.
100448,number 3 intake is leaking.,removed and replaced gasket.
100449,"left,hand back top baffle is cracked.",fabricated patch and installed.
100450,engine idle at 1700 rpm during shutdown. no rise in rpm on manual,"adjusted idle speeds and mixture rise, operations check good."
100451,number 4 rocker cover is leaking.,removed and replaced rocker cover gasket.
100452,cylinder number 3 exhaust push rod tube seal leaking at case.,"repositioned seal, leak persists. disassembled and replaced seal"
100453,aircraft needs to be run up and checked for ferry flight,"performed engine run up, serviced tire pressures."
100454,number 2 rocker box cover gasket leaking.,installed new rocker box cover gasket.
100455,number 4 intake leaking.,removed and replaced number 4 intake gasket.
100456,number 4 cylinder intake gasket leaking.,removed and replaced intake gasket.
100457,pilot reported strong engine vibration during stop and go,"ran engine, could not duplicate discrepancy. engine operations manual"
100458,no rise during mixture check.,"adjusted idle mixture, checks good."
100459,number 2 induction tube gasket is leaking.,removed and replaced number 2 intake gasket.
100460,number 2 rocker box cover gasket is leaking.,removed and replaced number 2 rocker cover gasket.
100461,number 4 intake is leaking.,removed and replaced intake gasket.
100462,"left,hand baffle plug needs to be replaced.",removed and replaced baffle plug.
100463,number 2 intake gasket leaking.,removed and replaced intake gasket with new.
100464,right-hand bottom baffle wire spring is broken.,removed and replaced baffle and wire spring with new.
100465,aft baffle bracket rivets sheared.,replaced rivets on baffle bracket and reinstalled baffling
100466,right-hand engine number 3 intake gasket leaking.,replaced gasket.
