ID,PROBLEM,ACTION,CLEANED,EDIT
100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,NUMBER ONE LEFT-HAND INTAKE HAS LARGE GOUGE. REMOVED AND REPLACED NUMBER ONE LEFT-HAND INTAKE PIPE WITH SERVICEABLE PIPE,CUTOFF - C
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,LEFT-HAND ENGINE NUMBER THREE ROCKER COVER LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE NUMBER THREE ROCKER COVER GASKET.,
100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,NUMBER TWO CYLINDER HAS LOW COMPRESSION. REMOVED ROCKER COVER AND STAKED INTAKE VALVE. PASSED COMPRESSION CHECK,CUTOFF - C
100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REPLACED GASKET.,
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.,LEFT-HAND SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE. SECURED BAFFLE SEAL.,
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,RIGHT-HAND BAFFLE FRONT SIDE HAS A CRACK. STOP DRILLED CRACK AND FABRICATED PATCH WITH LIKE MATERIAL.,
100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,CYLINDER NUMBER FOUR INTAKE IS LEAKING. REPLACED INTAKE GASKET.,
100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER GASKET.,
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING. INSTALLED NEW NUMBER FOUR INTAKE GASKET.,
100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.,SCREW IS MISSING ON NUMBER THREE CYLINDER BAFFLE. INSTALLED NEW SCREW.,
100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.,RIGHT-HAND FRONT BAFFLE SEAL LOOSE. RESECURED RIGHT-HAND FRONT BAFFLE SEAL.,
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.","TOP BACK LEFT-HAND CORNER BAFFLE IS CRACKED. STOP DRILLED CRACK, FABRICATED PATCH WITH LIKE MATERIAL.",
100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF AND LANDED. RAN ENGINE BRIEFLY AND NOTED THAT ENGINE WAS NOT RUNNING,
100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL","ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF AND LANDED. FREED EXHAUST VALVE, INSPECTED AND FOUND TO BE SERVICEABLE",
100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,NUMBER ONE AND NUMBER THREE INTAKES LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS.,
100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVER LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,RIGHT-HAND AFT BAFFLE MOUNT RIVETS ARE SHEARED. DISCONNECTED LINES AND WIRES TO REMOVE BAFFLE. REMOVED BAFFLE,CUTOFF - C
100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N","CHT NEEDLE BOUNCES AND HAD ENGINE RUN ROUGH MOMENTARILY. REMOVED AND REPLACED CHT PROBE. INSPECTED ENGINE, NO DEFECTS NOTED",CUTOFF - C
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. OPERATIONS AND LEAK CHECK GOOD.,
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. FINISHED INSTALLATION OF ENGINE.,
100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M","NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT. REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE MOUNT",CUTOFF - C
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.,"LEFT-HAND ENGINE NUMBERS TWO, THREE AND FOUR INTAKES ARE LEAKING. REPLACED ALL THREE GASKETS.",
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVERS.,
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.,RIGHT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE TUBES ARE LEAKING. REPLACED NUMBER THREE AND NUMBER FOUR INTAKE GASKETS.,
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A","LEFT-HAND ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED. REMOVED BRACE, STOP DRILLED CRACK.",CUTOFF - T
100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. RETORQUED SCREWS.,
100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,NUMBER TWO ROCKER BOX COVER GASKET LEAKING. INSTALLED NEW NUMBER TWO ROCKER BOX COVER GASKET.,
100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. INSTALLED NEW NUMBER FOUR ROCKER BOX COVER GASKET.,
100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.,LEFT BRAKE LININGS ARE WORN OUT. REPLACED BRAKE LININGS.,
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.,RIGHT ENGINE NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER.,
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.,ENGINE OVERSPEED UP TO THIRTY FOUR HUNDRED RPM AT TERMINATION OF AN AUTOROTATION. LEAK CHECK GOOD.,
100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.,ENGINE OVERSPEED UP TO THIRTY FOUR HUNDRED RPM AT TERMINATION OF AN AUTOROTATION. BEGAN VALVE TRAIN OVERSPEED INSPECTION,
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,ENGINE OVERSPEED UP TO THIRTY FOUR HUNDRED RPM AT TERMINATION OF AN AUTOROTATION. BEGAN ENGINE OVERSPEED INSPECTION IN ACCORDANCE WITH REFERENCE MANUAL. IDENTIFIED AND CORRECTED,"CUTOFF - C, ANON"
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,ENGINE OVERSPEED UP TO THIRTY FOUR HUNDRED RPM AT TERMINATION OF AN AUTOROTATION. FINISHED VALVE TRAIN OVERSPEED INSPECTION  WAS COMPLETED,CUTOFF - C
100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REPLACED GASKET.,
100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",NUMBER TWO CYLINDER HAS LOW COMPRESSION. PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES,CUTOFF - T
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,NUMBER TWO ROCKER BOX COVER SCREWS LOOSE. RETORQUED SCREWS.,
100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.,NUMBER THREE BAFFLE BUTTON PLUG BAD. INSTALLED NEW BUTTON PLUG.,
100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D","RIGHT-HAND ENGINE ROUGH IN FLIGHT. RAN AIRCRAFT, COULDN'T DUPLICATE DISCREPANCY. NO DEFECTS NOTED",
100158,#1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED 1 & 3 ROCKER COVERS.,NUMBER ONE AND NUMBER THREE ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVERS.,
100159,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,RIGHT-HAND FORWARD BAFFLE SEAL LOOSE. RESECURED BAFFLE SEAL.,
100160,"WHILE TAXIING, ENGINE QUIT.",FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,"WHILE TAXIING, ENGINE QUIT. FOUND NUMBER FOUR INTAKE WAS LEAKING. REMOVED AND REPLACED INTAKE",
100161,"R/H ENG, FWD I/B BAFFLE HAS SMALL CRACK.",STOP DRILLED CRACK.,"RIGHT-HAND ENGINE, FORWARD INBOARD BAFFLE HAS SMALL CRACK. STOP DRILLED CRACK.",
100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE.",TIGHTENED ALL SCREWS FOR ROCKER COVERS.,"BOTH ENGINES, ALL ROCKER COVERS LOOSE. TIGHTENED ALL SCREWS FOR ROCKER COVERS.",
100163,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. OPERATIONS AND LEAK CHECKED GOOD.,
100164,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. OPERATIONS AND LEAK CHECKED GOOD.,
100165,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,INSTALLED R/H ENGINE TO AIRFRAME.,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. INSTALLED RIGHT-HAND ENGINE TO AIRFRAME.,
100166,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED INSTALLING NACELLE WIRING.,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. FINISHED INSTALLING NACELLE WIRING.,
100167,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED REINSTALL OF NACELLE WIRING.,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. FINISHED REINSTALL OF NACELLE WIRING.,
100168,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & ENGINE CONTROL INSTALLATION.,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CONTINUED WIRING AND ENGINE CONTROL INSTALLATION.,
100169,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.,
100170,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL.,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. SEALED CONTROL CABLE AND ELECTRICAL HARNESS AT FIREWALL.,
100171,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"INSTALLED & TIMED MAGNETOS. ROUTED, CONNECTED WIRING &","LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. INSTALLED AND TIMED MAGNETOS. ROUTED, CONNECTED WIRING",
100172,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSY TO A,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSEMBLY TO AIRFRAME,CUTOFF - C
100173,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWAL","LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWALL",CUTOFF - C
100174,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL","LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. ROUTED AND SECURED WIRING, FUEL AND OIL LINES, CONTROL CABLE",CUTOFF - C
100175,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL. R,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. SEALED CONTROL CABLE AND ELECTRICAL HARNESS AT FIREWALL,
100176,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA","LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CLEANED PLUGS, SERVICED OIL. RAN LEFT-HAND ENGINE",CUTOFF - T
100177,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"REMOVED LEFT ENGINE, PROP/MOUNT ASSY.","LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED LEFT ENGINE, PROPELLER AND MOUNT ASSEMBLY.",PUNC - S
100178,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW,LEFT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED OIL SUMP AND ACCESSORY CASE. INSPECTED IN ACCORDANCE WITH REFERENCE MANUAL,ANON
100179,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. STARTED WIRING INSTALLATION AND CONTROL CABLE INSTALLATION,CUTOFF - C
100180,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & CONTROL CABLE ROUTING. CONNECTED COW,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CONTINUED WIRING AND CONTROL CABLE ROUTING.,CUTOFF - T
100181,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO,RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CONNECTED WIRING AND SECURED. ATTACHED AND RIGGED ENGINE,CUTOFF - T
100182,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION","RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. CLEANED PLUGS, SERVICED OIL. RAN ENGINE",CUTOFF - T
100183,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED R/H ENGINE/PROP/MOUNT ASSY. PRESERVED CYLS. PAL,"RIGHT-HAND ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR. REMOVED RIGHT-HAND ENGINE, PROPELLER, AND MOUNT ASSEMBLY. PRESERVED CYLINDERS.","CUTOFF - T, PUNC - S"
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REMOVED ENGINE.,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR. REMOVED ENGINE.,
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,REINSTALL ENGINE AFTER REPAIR TO FIREWALL. INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,FIREWALL REPAIRED BY ODEGAARD WINGS. ,REINSTALL ENGINE AFTER REPAIR TO FIREWALL. FIREWALL REPAIRED BY ODEGAARD WINGS. ,
100187,#2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR INTAKE GASKETS.,
100188,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
100189,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
100190,AFT BAFFLE SCREW LOOSE.,TIGHTENED BAFFLE SCREW.,AFT BAFFLE SCREW LOOSE. TIGHTENED BAFFLE SCREW.,
100191,#4 REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,NUMBER FOUR REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
100193,#3 CYL EXHAUST SEAL LEAKING.,REMOVED & REPLACED SEAL.,NUMBER THREE CYLINDER EXHAUST SEAL LEAKING. REMOVED AND REPLACED SEAL.,
100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.,PREPPED AREA & APPLIED SEALANT.,FELT ON NUMBER ONE AND NUMBER THREE BAFFLE COMING LOOSE. PREPPED AREA AND APPLIED SEALANT.,
100195,ENGINE BAFFLE BUTTONS WORN.,REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.,ENGINE BAFFLE BUTTONS WORN. REMOVED AND REPLACED ENGINE BAFFLE BUTTONS ON LEFT-HAND AND RIGHT-HAND.,
100196,MISSING SCREW ON #3 ROCKER COVER.,INSTALLED NEW SCREW.,MISSING SCREW ON NUMBER THREE ROCKER COVER. INSTALLED NEW SCREW.,
100197,#2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKES ARE LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
100198,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA","ENGINE RUNS ROUGH AFTER START. STARTED AIRCRAFT, VERIFIED ENGINE RUNS VERY ROUGH.",CUTOFF - T
100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,ENGINE RUNS ROUGH AFTER START. PERFORMED SERVICE INSTRUCTION THREE EIGHTY EIGHT C ON ALL FOUR CYLINDERS. REAMED EXHAUST VALVE GUIDES,"CUTOFF - C, CUTOFF - T"
100201,"LACING CORD LOOSE ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",REPLACED BOTH LACINGS.,LACING CORD LOOSE ON SCAT TUBING PLUS IGNITION LEAD TO FRAME. REPLACED BOTH LACINGS.,
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,TIGHTENED ALL SCREWS.,ALL ROCKER COVER SCREWS ARE LOOSE ON LEFT-HAND ENGINE. TIGHTENED ALL SCREWS.,
100203,#2 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 INTAKE GASKET ON R/H ENGINE.,NUMBER TWO INTAKE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET ON RIGHT-HAND ENGINE.,
100204,"INTAKES 2, # & 4 LEAKING ON L/H ENGINE.","REMOVED & REPLACED INTAKE GASKET 2, 3 & 4 ON L/H ENGINE","INTAKES TWO AND FOUR LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKET TWO, THREE AND FOUR ON LEFT-HAND ENGINE",
100205,ROCKER COVERS 2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS ON R/H E,ROCKER COVERS TWO AND FOUR LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS ON RIGHT-HAND ENGINE,CUTOFF - C
100206,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.","REMOVED & REPLACED #3 CYL ASSY. REEMED 1, 2, 4 EXHAUST","ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH. REMOVED AND REPLACED NUMBER THREE CYLINDER ASSEMBLY. REAMED ONE, TWO AND FOUR EXHAUST VALVE GUIDES",CUTOFF - C
100207,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.","RAN ENGINE, #3 CYL NO EGT. PULLED PROP THROUGH 4 COMPRE","ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH. RAN ENGINE, NUMBER THREE CYLINDER NO EGT. PULLED PROPELLER THROUGH FOUR COMPRESSIONS",CUTOFF - C
100208,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
100209,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED CYL #2 INTAKE GASKET.,CYLINDER NUMBER TWO INTAKE GASKET IS LEAKING. REMOVED AND REPLACED CYLINDER NUMBER TWO INTAKE GASKET.,
100210,CYL #2 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED CYL #2 & 3 ROCKER COVER GASKETS.,CYLINDER NUMBER TWO AND NUMBER THREE ROCKER COVERS LEAKING. REMOVED AND REPLACED CYLINDER NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS.,
100211,CYL #3 AFT BAFFLE I/B SCREW BRACKET RIVETS ARE SHEARED OFF.,"REMOVED CYL #3 AFT BAFFLE, REPLACED BROKEN FASTENERS &","CYLINDER NUMBER THREE AFT BAFFLE INBOARD SCREW BRACKET RIVETS ARE SHEARED OFF. REMOVED CYLINDER NUMBER THREE AFT BAFFLE, REPLACED BROKEN FASTENERS",CUTOFF - T
100212,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,NUMBER THREE ROCKER COVER LEAKING. REMOVED AND REPLACED ROCKER COVER WITH NEW.,
100213,#2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED GASKETS.,
100214,R/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
100215,L/H ENGINE #4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
100216,"R/H ENGINE, ALL 4 ROCKER COVER GASKETS SEEPING.",REMOVED & REPLACED ALL GASKETS.,"RIGHT-HAND ENGINE, ALL FOUR ROCKER COVER GASKETS SEEPING. REMOVED AND REPLACED ALL GASKETS.",
100217,R/H REAR ENGINE BAFFLE SCREW MISSING.,INSTALLED NEW SCREW.,RIGHT-HAND REAR ENGINE BAFFLE SCREW MISSING. INSTALLED NEW SCREW.,
100218,ROCKER BOX COVER SCREWS LOOSE (ALL CYLS).,RETORQUED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS. RETORQUED SCREWS.",PUNC - B
100219,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
